epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5776.79,0.08906,0.27893,0.89112,0.99305,0.99593,0.99498,0.99207,0.18743,0.23646,0.47205,0.000494885,0.000494885,0.000494885
43,5912.39,0.08754,0.28247,0.88614,0.99423,0.99527,0.99494,0.99246,0.20353,0.24964,0.50683,0.000486639,0.000486639,0.000486639
44,6048.5,0.08081,0.26496,0.88014,0.99797,0.99428,0.995,0.995,0.19697,0.24128,0.49176,0.000478392,0.000478392,0.000478392
45,6183.48,0.08347,0.27016,0.88516,0.99702,0.99086,0.99498,0.99466,0.15852,0.19665,0.45457,0.000470145,0.000470145,0.000470145
46,6319.55,0.0847,0.25743,0.88524,0.99596,1,0.995,0.99344,0.19032,0.23799,0.48934,0.000461898,0.000461898,0.000461898
47,6455.21,0.08396,0.25796,0.88732,0.99817,0.99834,0.995,0.99332,0.18445,0.22886,0.47909,0.000453652,0.000453652,0.000453652
48,6593.21,0.07965,0.25413,0.88003,0.99638,0.99946,0.995,0.9943,0.1987,0.2425,0.4994,0.000445405,0.000445405,0.000445405
49,6728.91,0.07921,0.2622,0.88336,0.99454,0.99744,0.99494,0.99318,0.17892,0.19366,0.4624,0.000437158,0.000437158,0.000437158
50,6864.42,0.07848,0.25655,0.88431,0.99748,0.99944,0.995,0.99396,0.15099,0.22092,0.43792,0.000428912,0.000428912,0.000428912
51,6999.95,0.07837,0.24195,0.88315,0.99822,0.99932,0.995,0.98416,0.16646,0.21056,0.46318,0.000420665,0.000420665,0.000420665
52,7135.36,0.07926,0.24188,0.8866,0.99445,0.99468,0.99471,0.99458,0.18705,0.2301,0.49572,0.000412418,0.000412418,0.000412418
53,7271.22,0.07719,0.24921,0.88193,0.99613,0.9975,0.99469,0.9934,0.16239,0.24236,0.45228,0.000404172,0.000404172,0.000404172
54,7407.11,0.0723,0.22935,0.88403,0.99803,0.99236,0.99498,0.99238,0.1741,0.23249,0.46401,0.000395925,0.000395925,0.000395925
55,7543.47,0.07491,0.23676,0.88126,0.99664,0.99813,0.995,0.99442,0.19389,0.23143,0.49551,0.000387678,0.000387678,0.000387678
56,7679.06,0.07505,0.22954,0.88075,0.99465,0.99891,0.995,0.99281,0.17935,0.21753,0.46862,0.000379431,0.000379431,0.000379431
57,7815.42,0.07186,0.23548,0.87984,0.99716,0.99966,0.995,0.99484,0.18629,0.2232,0.48009,0.000371185,0.000371185,0.000371185
58,7952.32,0.06928,0.22005,0.88008,0.99759,0.99863,0.995,0.99488,0.16268,0.20829,0.4656,0.000362938,0.000362938,0.000362938
59,8089.14,0.0719,0.23129,0.88198,0.99399,0.99901,0.995,0.99429,0.17132,0.20453,0.46949,0.000354691,0.000354691,0.000354691
60,8225.35,0.06995,0.22703,0.88087,0.9964,0.99604,0.995,0.99435,0.14939,0.21626,0.43889,0.000346445,0.000346445,0.000346445
61,8361.67,0.07151,0.22062,0.87967,0.99732,1,0.995,0.99441,0.16566,0.21782,0.469,0.000338198,0.000338198,0.000338198
62,8497.51,0.06911,0.2212,0.87669,0.99682,0.99763,0.995,0.9949,0.1503,0.20419,0.43946,0.000329951,0.000329951,0.000329951
63,8634.33,0.066,0.21202,0.88238,0.99808,0.99677,0.995,0.99461,0.1651,0.21239,0.46439,0.000321705,0.000321705,0.000321705
64,8769.73,0.06801,0.21913,0.88666,0.99234,0.99503,0.99493,0.99366,0.17318,0.25491,0.46445,0.000313458,0.000313458,0.000313458
65,8905.19,0.06592,0.21372,0.87491,0.99696,0.99618,0.995,0.99119,0.17708,0.24368,0.479,0.000305211,0.000305211,0.000305211
66,9041,0.06608,0.20511,0.8742,0.99734,0.99738,0.995,0.99215,0.21464,0.22337,0.51391,0.000296964,0.000296964,0.000296964
67,9177.37,0.06635,0.20698,0.88064,0.99019,0.98794,0.9949,0.99326,0.18001,0.23608,0.48065,0.000288718,0.000288718,0.000288718
68,9312.81,0.06264,0.2031,0.87244,0.98574,0.9903,0.99368,0.9915,0.19585,0.22557,0.50118,0.000280471,0.000280471,0.000280471
69,9449.33,0.05961,0.20411,0.8748,0.99568,0.99818,0.99497,0.99424,0.17629,0.20783,0.47394,0.000272224,0.000272224,0.000272224
70,9585.81,0.05903,0.20159,0.87507,0.99395,0.99455,0.995,0.99358,0.16771,0.21969,0.46605,0.000263978,0.000263978,0.000263978
71,9722.25,0.05982,0.20084,0.87663,0.99728,0.99929,0.995,0.99397,0.15287,0.19807,0.4427,0.000255731,0.000255731,0.000255731
72,9857.57,0.06063,0.18248,0.87917,0.99787,0.98646,0.99422,0.99244,0.15073,0.23095,0.44273,0.000247484,0.000247484,0.000247484
73,9993.51,0.0573,0.198,0.87448,0.9957,0.99582,0.995,0.99371,0.1622,0.228,0.45695,0.000239238,0.000239238,0.000239238
74,10128.8,0.0591,0.19089,0.87488,0.9934,0.99557,0.9949,0.9949,0.15844,0.21951,0.46174,0.000230991,0.000230991,0.000230991
75,10264.6,0.05699,0.18744,0.87241,0.99754,0.99379,0.9949,0.99464,0.15097,0.2117,0.44288,0.000222744,0.000222744,0.000222744
76,10400.8,0.05756,0.18218,0.8736,0.99882,0.99813,0.995,0.9942,0.16006,0.20125,0.4567,0.000214497,0.000214497,0.000214497
77,10536.3,0.0568,0.18223,0.87724,0.99776,0.9951,0.995,0.99485,0.15688,0.208,0.44854,0.000206251,0.000206251,0.000206251
78,10670.8,0.05617,0.1856,0.87752,0.99823,1,0.995,0.995,0.14141,0.18757,0.43402,0.000198004,0.000198004,0.000198004
79,10806.4,0.05381,0.19283,0.87208,0.99841,0.99973,0.995,0.995,0.1648,0.21959,0.46527,0.000189757,0.000189757,0.000189757
80,10942.9,0.05259,0.18002,0.87474,0.99802,0.99937,0.995,0.99491,0.13207,0.20235,0.42283,0.000181511,0.000181511,0.000181511
81,11080.2,0.05241,0.17154,0.87459,0.99793,0.99443,0.995,0.9946,0.14387,0.20927,0.43974,0.000173264,0.000173264,0.000173264
82,11216.4,0.05291,0.15896,0.87584,0.99827,0.9976,0.995,0.99467,0.13766,0.18705,0.43277,0.000165017,0.000165017,0.000165017
83,11352.6,0.05071,0.17228,0.87536,0.99615,0.99479,0.995,0.9948,0.14413,0.19474,0.44479,0.000156771,0.000156771,0.000156771
84,11488.3,0.05027,0.17761,0.87049,0.99765,0.99542,0.995,0.99499,0.14478,0.19311,0.44416,0.000148524,0.000148524,0.000148524
85,11630.3,0.04958,0.17097,0.87105,0.99757,0.99655,0.995,0.99469,0.14322,0.1917,0.4446,0.000140277,0.000140277,0.000140277
86,11772.8,0.04967,0.17004,0.87042,0.9976,1,0.995,0.99496,0.15201,0.21739,0.44615,0.000132031,0.000132031,0.000132031
87,11914.4,0.04788,0.16828,0.87436,0.99766,0.99859,0.995,0.99454,0.16489,0.20397,0.46196,0.000123784,0.000123784,0.000123784
88,12051.3,0.04721,0.16761,0.8692,0.99776,0.99882,0.995,0.99467,0.14603,0.18476,0.44569,0.000115537,0.000115537,0.000115537
89,12187.7,0.04651,0.1528,0.86754,0.99695,1,0.995,0.99499,0.15393,0.19577,0.45538,0.00010729,0.00010729,0.00010729
90,12324.9,0.05052,0.15633,0.87373,0.99853,0.99845,0.995,0.99492,0.15763,0.202,0.46157,9.90437e-05,9.90437e-05,9.90437e-05
91,12457.4,0.04955,0.09147,0.86117,0.99842,0.99901,0.995,0.9948,0.13465,0.22389,0.4217,9.0797e-05,9.0797e-05,9.0797e-05
92,12591.1,0.04317,0.06276,0.85271,0.99815,0.99939,0.995,0.99487,0.13886,0.20767,0.43547,8.25503e-05,8.25503e-05,8.25503e-05
93,12724.2,0.03882,0.05777,0.84888,0.99836,1,0.995,0.995,0.1239,0.1969,0.41606,7.43036e-05,7.43036e-05,7.43036e-05
94,12888.3,0.03875,0.05493,0.84933,0.99853,1,0.995,0.995,0.13006,0.20065,0.42529,6.60569e-05,6.60569e-05,6.60569e-05
95,13028.5,0.03639,0.05247,0.847,0.99836,0.99952,0.995,0.995,0.13024,0.19409,0.42131,5.78102e-05,5.78102e-05,5.78102e-05
96,13150.7,0.03524,0.05082,0.84627,0.99701,0.99921,0.995,0.995,0.12705,0.19195,0.41766,4.95635e-05,4.95635e-05,4.95635e-05
97,13280.9,0.03377,0.04867,0.84955,0.99786,0.99956,0.995,0.995,0.11963,0.18794,0.41037,4.13168e-05,4.13168e-05,4.13168e-05
98,13452.6,0.03252,0.04685,0.85454,0.99855,1,0.995,0.995,0.11821,0.19938,0.40786,3.30701e-05,3.30701e-05,3.30701e-05
99,13629.7,0.03104,0.0451,0.8429,0.9987,1,0.995,0.995,0.1302,0.19892,0.42398,2.48234e-05,2.48234e-05,2.48234e-05
100,13774.3,0.03143,0.04556,0.84671,0.9983,0.99974,0.995,0.995,0.12006,0.19341,0.41128,1.65767e-05,1.65767e-05,1.65767e-05
